id,Unnamed: 0,wgs84x,wgs84y,delta,delta+,delta-
1,0,121.56299732925112,25.036088713997717,702,702.0,0.0
2,1,121.56628035534453,25.037146696000363,213,213.0,0.0
3,2,121.5662260284535,25.028806331929665,1,1.0,0.0
4,3,121.57187070518074,25.047444247514896,-38,0.0,38.0
5,4,121.50356949655344,25.118430183567227,-39,0.0,39.0
6,5,121.5011099703053,25.126452954216212,0,0.0,0.0
7,6,121.49920699677828,25.02899272394761,-49,0.0,49.0
8,7,121.50305872623564,2.509989006595393,66,66.0,0.0
14,8,121.57280999836064,25.03490591576873,49,49.0,0.0
15,9,121.50538537329071,25.04403660291737,5,5.0,0.0
16,10,121.51045808475632,25.044012218775826,177,177.0,0.0
18,11,121.50587417219158,25.04824401985601,130,130.0,0.0
19,12,121.51098000202805,25.050819231969136,12,12.0,0.0
20,13,121.5239985439963,25.08615067568061,47,47.0,0.0
21,14,121.52028870186643,25.08537233189805,-16,0.0,16.0
22,15,121.5804418082527,25.046627191964273,10,10.0,0.0
23,16,121.5579743612294,25.06161216210689,-75,0.0,75.0
24,17,121.53164895314428,25.029525642570363,-38,0.0,38.0
25,18,121.51055591219452,25.024421517043624,-53,0.0,53.0
27,19,121.54378663640327,24.995261603586147,-161,0.0,161.0
28,20,121.56407481428236,25.04407662008312,16,16.0,0.0
29,21,121.6156987287838,25.06854628680099,-72,0.0,72.0
30,22,121.51046820499641,25.05839275625122,26,26.0,0.0
31,23,121.54229161052989,25.036291387582803,7,7.0,0.0
32,24,121.56588222963543,25.055812154256817,-32,0.0,32.0
33,25,121.53770541657593,25.04611263356597,28,28.0,0.0
34,26,121.55862421844368,25.006274817941584,-26,0.0,26.0
35,27,121.51980805543691,25.060906545315447,14,14.0,0.0
36,28,121.50393615359008,25.131128363060927,-17,0.0,17.0
37,29,121.54185486111471,25.03263507362081,26,26.0,0.0
38,30,121.58604991761551,25.045886363175413,4,4.0,0.0
39,31,121.50595328004087,25.08958139526851,-41,0.0,41.0
40,32,121.5623546517732,25.056537955208718,-46,0.0,46.0
41,33,121.56778319103674,25.040419316888965,30,30.0,0.0
42,34,121.5198756850295,25.051488853269035,62,62.0,0.0
43,35,121.6065022207724,25.056104493231352,-9,0.0,9.0
