,Unnamed: 0,id,name,tw97x,tw97y,location,wgs84x,wgs84y,area,type,type2,summary,address,tel,payex_major,payex,serviceTime,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area,ChargeStation.StationName,ChargeStation.StationAddr,ChargeStation.locLongitude,ChargeStation.locLatitude,ChargeStation.openFlag,ChargeStation.isCharge,ChargeStation.contactName,ChargeStation.contactMobilNo,ChargeStation.scoketCount,ChargeStation.availableCount,ChargeStation.country,ChargeStation.town,FareInfo.WorkingDay,FareInfo.Holiday,EntranceCoord.EntrancecoordInfo
0,0.0,001,府前廣場地下停車場,306812.928,2769892.95,"(25.036088713997714, 121.56299732925113)",121.56299732925112,25.036088713997717,信義區,1.0,2.0,為地下二層停車場，計有2024個小型車停車格，1137個機車停車位,松壽路1號地下,2542-0001,30.0,"計時：汽車日間(9-18)30元/時，夜間(18-9)10元/時，全程以半小時計費，月租：汽車全日3,400元/月，日間(7-19)2,400元/月、夜間(週一至週五19-8，週六、週日與行政機關放假之紀念日與民俗日全日使用)；機車月票300元/月，計次：20元/次。",00:00:00~23:59:59,2025.0,1360.0,31.0,0.0,40.0,45.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,北市府前停車場,台北市信義區松壽路1號B1,121.56306000000001,25.036037,N,N,詹朝清場長,0928-228-830,4.0,0.0,台北市,信義區,"[{'Period': '00~09', 'Fare': '10'}, {'Period': '09~18', 'Fare': '30'}, {'Period': '18~24', 'Fare': '10'}]","[{'Period': '00~09', 'Fare': '10'}, {'Period': '09~18', 'Fare': '30'}, {'Period': '18~24', 'Fare': '10'}]","[{'Xcod': '25.03648987', 'Ycod': '121.5621068', 'Address': '基隆路一段'}, {'Xcod': '25.036014', 'Ycod': '121.563163', 'Address': '松壽路'}, {'Xcod': '25.035975', 'Ycod': '121.561532', 'Address': '基隆路一段車行地下道'}]"
1,1.0,002,松壽廣場地下停車場,307143.740,2770011.52,"(25.03714669600036, 121.56628035534452)",121.56628035534453,25.037146696000363,信義區,1.0,2.0,立體式小型車446格(含身心障礙停車位9格)。,松智路75號地下,2542-0001,30.0,"計時：週一至週五(9-22)30元/時，(22-9)10元/時，週六至週日與行政機關放假之紀念日與民俗日全日使用(9-22)40元/時，(22-9)10元/時，全程以半小時計費。月租：全日月票3,400元/月，日間月票(7-20)2,400元/月，夜間月票(20-7)1,000元/月，(週一至週五19-8，週六、週日與行政機關放假之紀念日與民俗日全日使用)。，(22-9時)計時10元(全程以半小時計費)。",00:00:00~23:59:59,455.0,0.0,0.0,0.0,8.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"[{'Period': '00~09', 'Fare': '10'}, {'Period': '09~22', 'Fare': '30'}, {'Period': '22~24', 'Fare': '10'}]","[{'Period': '00~09', 'Fare': '10'}, {'Period': '09~22', 'Fare': '40'}, {'Period': '22~24', 'Fare': '10'}]","[{'Xcod': '25.036966', 'Ycod': '121.565523', 'Address': ''}]"
2,2.0,003,臺北市災害應變中心地下停車場,307142.121,2769087.67,"(25.028806331929662, 121.5662260284535)",121.5662260284535,25.028806331929665,信義區,1.0,1.0,立體式小型車169格(含身心障礙停車位5格)。立體式機車208格(含身心障礙停車位5格)。,莊敬路391巷11弄2號地下,2345-3859,30.0,"計時：小型車計時30元，全程以半小時計費；機車10元/時，當日當次最高收費上限20元(隔日另計)。月票：小型車全日月票5,000元，日間優惠月票2,600元(7-19)；機車月票300元。",00:00:00~23:59:59,174.0,204.0,0.0,0.0,3.0,5.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,臺北市災害應變中心地下停車場,臺北市信義區台北市信義區莊敬路391巷11弄2號 地下,121.56728770000001,25.031841,Y,N,李素娥,2345-3859,2.0,2.0,臺北市,信義區,"[{'Period': '00~24', 'Fare': '30'}]","[{'Period': '00~24', 'Fare': '30'}]","[{'Xcod': '25.028728', 'Ycod': '121.566111', 'Address': ''}]"
3,3.0,004,雅祥公園地下停車場,307703.059,2771154.51,"(25.047444247514896, 121.57187070518074)",121.57187070518074,25.047444247514896,信義區,1.0,1.0,立體式小型車204格(含身心障礙停車位5格)。,松隆路123巷7號地下,2766-1258,40.0,"計時：周一至周四40元/時，周五至周日與行政機關放假之紀念日與民俗日50元/時，全程以半小時計費。月租：全日月票4,800元，夜間月票2,000元(周一至周五19-08，周六、周日與行政機關放假之紀念日、民俗日全日使用。",00:00:00~23:59:59,209.0,0.0,0.0,0.0,4.0,5.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,"[{'Period': '00~24', 'Fare': '30'}]","[{'Period': '00~24', 'Fare': '40'}, {'Period': '00~18', 'Fare': '30'}]","[{'Xcod': '25.04754574', 'Ycod': '121.5716298', 'Address': '松隆路123巷'}]"
4,4.0,005,立農公園地下停車場,300781.892,2778989.94,"(25.118430183567227, 121.50356949655345)",121.50356949655344,25.118430183567227,北投區,1.0,1.0,立體式小型車204格(含身心障礙停車位5格)。立體式機車95格(含身心障礙停車位2格)。,承德路7段372號地下,2823-0834,30.0,"計時：小型車30元/時，全程以半小時計費。月租：小型車全日月票4,800元；日間月票(07-19)2,800元；夜間月票(19-08)2,000元，機車月票300元。計次：機車20元/次(隔日另計)。",00:00:00~23:59:59,209.0,97.0,0.0,0.0,6.0,5.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,立農公園地下停車場,臺北市北投區承德路7段372號地下,121.50079070000001,25.1185997,Y,N,林美慧,2823-0834,2.0,2.0,臺北市,北投區,"[{'Period': '00~24', 'Fare': '20'}]","[{'Period': '00~24', 'Fare': '20'}]","[{'Xcod': '25.118127', 'Ycod': '121.502995', 'Address': '承德路七段'}]"
5,5.0,006,捷運奇岩站轉乘停車場,300530.560,2779877.67,"(25.126452954216216, 121.50110997030527)",121.5011099703053,25.126452954216212,北投區,1.0,2.0,平面式機車154格(含身心障礙停車位5格)。,台北市,02,20.0,計次：20元/次，隔日另計(凌晨2時為跨日基準)。機車全時月票：300元/月(身心障礙者5折優惠)。,00:00:00~23:59:59,0.0,154.0,0.0,0.0,12.0,16.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"[{'Xcod': '25.034795', 'Ycod': '121.572818', 'Address': ''}]"
6,6.0,007,萬華國中地下停車場,300378.533,2769081.71,"(25.02899272394761, 121.49920699677827)",121.49920699677828,25.02899272394761,萬華區,1.0,1.0,立體式小型車508格(含身心障礙停車位11格)。立體式機車211格(含身心障礙停車位4格)。,西藏路201號地下,2307-8457,20.0,"計時：小型車20元/時，全程以半小時計費，月租：小型車全日4,800元/月，日間(7-19)月票2,800/月，夜間(19-8)月票2,000元/月，所在里(日善里)里民月票3,360元，300公尺內設籍里(雙園里、頂碩里、新安里、新忠里)3,840元/月，機車全日300元/月。計次：機車20元／次。",00:00:00~23:59:59,519.0,215.0,0.0,0.0,10.0,11.0,8,4,0.0,0.0,0.0,0.0,0.0,0.0,萬華國中地下停車場,臺北市萬華區台北市萬華區西藏路201號地下,121.4973935,25.0291912,Y,N,姚呂月珠,2307-8457,4.0,4.0,臺北市,萬華區,"[{'Period': '00~08', 'Fare': '10'}, {'Period': '08~22', 'Fare': '20'}, {'Period': '22~24', 'Fare': '10'}]","[{'Period': '00~08', 'Fare': '10'}, {'Period': '08~22', 'Fare': '20'}, {'Period': '22~24', 'Fare': '10'}]","[{'Xcod': '25.029537', 'Ycod': '121.49954', 'Address': '西藏路'}]"
7,7.0,008,捷運劍南站轉乘停車場,305942.000,277525.0,"(2.509989006595393, 121.50305872623565)",121.50305872623564,2.509989006595393,信義區,1.0,1.0,立體式小型車282格(含身心障礙停車位6格)。立體式機車52格(含身心障礙停車位2格)。,台北市中山區北安路798號1樓、B1-B2,2550-5600#3218,20.0,"機車計次20元/次(隔日另計，凌晨2時為基準)。汽車全日月票2,500元/月；機車全日月票300元/月。",00:00:00~23:59:59,288.0,54.0,0.0,0.0,0.0,13.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,"[{'Xcod': '25.03607', 'Ycod': '121.56306', 'Address': ''}]"
8,8.0,014,興雅國中地下停車場,307803.715,2769766.09,"(25.034905915768732, 121.57280999836065)",121.57280999836064,25.03490591576873,信義區,1.0,1.0,立體式小型車447格(含身心障礙停車位9格)。,松德路200巷18號地下,2758-5499,30.0,"計時：30元/時，全程以半小時計費。月票：全日月票4,800元，日間月票2,800元(7-19)，夜間月票2,200元(19-8)。",00:00:00~23:59:59,456.0,0.0,0.0,0.0,8.0,9.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,興雅國中地下停車場,臺北市信義區信義區松德路200巷18號,121.5706107,25.0348365,Y,N,郭憶萍,2758-5499,4.0,2.0,臺北市,信義區,"[{'Period': '00~08', 'Fare': '10'}, {'Period': '08~18', 'Fare': '20'}, {'Period': '18~24', 'Fare': '10'}]","[{'Period': '00~08', 'Fare': '10'}, {'Period': '08~18', 'Fare': '20'}, {'Period': '18~24', 'Fare': '10'}]","[{'Xcod': '25.03479453', 'Ycod': '121.5728183', 'Address': '松德路200巷'}]"
9,9.0,015,峨眉立體停車場,300995.827,2770750.36,"(25.044036602917373, 121.50538537329068)",121.5053853732907,25.04403660291737,萬華區,1.0,1.0,立體式小型車528格(含身心障礙停車位11格)。立體式機車1850格(含身心障礙停車位33格)。,峨眉街83號,2382-2854,50.0,"計時：小型車週一至週五：50元/時(10-22)，10元/時(22-10)；週六至週日及政府行政機關放假之紀念日及民俗節日60元/時(10-24)，10元/時(22-10)，全程以半小時計費。月租：小型車全日月票4,800元/月，日間月票4,000元/月(10-22)，夜間月票500元/月(21-09)；機車月票300元/月。計次：機車20元/次，隔日另計。",00:00:00~23:59:59,529.0,1674.0,14.0,0.0,10.0,11.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,峨眉立體停車場,臺北市萬華區萬華區峨眉街83號,121.5031364,25.044327,Y,N,陳兩嘉,2556-7024,4.0,4.0,臺北市,萬華區,"[{'Period': '00~10', 'Fare': '10'}, {'Period': '10~22', 'Fare': '40'}, {'Period': '22~24', 'Fare': '10'}]","[{'Period': '00~10', 'Fare': '10'}, {'Period': '10~22', 'Fare': '50'}, {'Period': '22~24', 'Fare': '10'}]","[{'Xcod': '25.04455', 'Ycod': '121.50561', 'Address': '昆明街'}]"
