,SectionId,SectionName,AvgSpd,AvgOcc,TotalVol,MOELevel,StartWgsX,StartWgsY,EndWgsX,EndWgsY,Time,time
0,Z0111C0,市高往東  環河中華,34.309677,46.4,153.5,2,121.50695500216676,25.04994799574932,121.50705798692283,25.050408979818556,2020/06/04T09:58:06,09:58:06
1,Z0120C0,市高往東  中華承德,68.934784,12.7,280.0,0,121.50705798692283,25.050408979818556,121.51466999479653,25.048847032913205,2020/06/04T09:58:06,09:58:06
2,Z0130A0,市高往東  承德中山,64.76568,16.533335,300.0,0,121.51466999479653,25.048847032913205,121.53046697738932,25.045874039619246,2020/06/04T09:58:06,09:58:06
3,Z0130A1,市高往東  中山林森,67.30154,17.8,317.5,0,121.51466999479653,25.048847032913205,121.53046697738932,25.045874039619246,2020/06/04T09:58:06,09:58:06
4,Z0140C0,市高往東  新生建國,65.93939,21.5,258.0,0,121.53046697738932,25.045874039619246,121.53615703699234,25.044318028422193,2020/06/04T09:58:06,09:58:06
5,Z0140C1,市高往東  建國復興,69.261604,20.2,235.0,0,121.53046697738932,25.045874039619246,121.53615703699234,25.044318028422193,2020/06/04T09:58:06,09:58:06
6,Z0150C0,市高往東  復興敦化,66.86046,13.6,254.0,0,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709526,2020/06/04T09:58:06,09:58:06
7,Z0150C1,市高往東  敦化上方,60.186832,17.633333,277.25,0,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709526,2020/06/04T09:58:06,09:58:06
8,Z0150C2,市高往東  敦化延吉,54.523026,21.666668,300.5,1,121.53615703699234,25.044318028422193,121.5576310475605,25.044760982709526,2020/06/04T09:58:06,09:58:06
9,Z0160C0,市高往東  延吉永吉,48.376316,34.8,362.5,1,121.5576310475605,25.044760982709526,121.56922995528285,25.045546039344874,2020/06/04T09:58:06,09:58:06
10,Z0380F0,正氣橋  麥一市民,59.271187,19.7,185.0,1,121.56977204249891,25.04618901466344,121.56977100926193,25.045943997665272,2020/06/04T09:58:06,09:58:06
11,Z0390G0,市高往西  永吉光復,28.572052,43.8,229.0,2,121.56977100926193,25.045943997665272,121.56751202127087,25.045890982790404,2020/06/04T09:58:06,09:58:06
12,Z03A0G1,市高往西  光復延吉,34.463234,41.1,280.0,1,121.56751202127087,25.045890982790404,121.55766704817091,25.045468014863655,2020/06/04T09:58:06,09:58:06
13,Z03B0G0,市高往西  延吉復興,67.419464,15.2,298.5,0,121.55766704817091,25.045468014863655,121.53612602033242,25.04502503847536,2020/06/04T09:58:06,09:58:06
14,Z03C0G0,市高往西  復興建國,62.61111,6.8,256.0,0,121.53612602033242,25.04502503847536,121.53057103606585,25.04651899493232,2020/06/04T09:58:06,09:58:06
15,Z03C0G1,市高往西  建國新生,67.74299,16.0,209.5,0,121.53612602033242,25.04502503847536,121.53057103606585,25.04651899493232,2020/06/04T09:58:06,09:58:06
