id,name,tw97x,tw97y,wgs84x,wgs84y,area,type,type2,payex_major,serviceTime,totalcar,totalmotor,totalbike,totalbus,Pregnancy_First,Handicap_First,totallargemotor,ChargingStation,Taxi_OneHR_Free,AED_Equipment,CellSignal_Enhancement,Accessibility_Elevator,Phone_Charge,Child_Pickup_Area
1,府前廣場地下停車場,306812.928,2769892.95,121.56299732925100,25.036088713997700,信義區,1.0,2.0,30.0,00:00:00~23:59:59,2025.0,1360.0,31.0,0.0,40.0,45.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
2,松壽廣場地下停車場,307143.740,2770011.52,121.56628035534500,25.037146696000400,信義區,1.0,2.0,30.0,00:00:00~23:59:59,455.0,0.0,0.0,0.0,8.0,9.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,臺北市災害應變中心地下停車場,307142.121,2769087.67,121.5662260284540,25.028806331929700,信義區,1.0,1.0,30.0,00:00:00~23:59:59,174.0,204.0,0.0,0.0,3.0,5.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
4,雅祥公園地下停車場,307703.059,2771154.51,121.57187070518100,25.047444247514900,信義區,1.0,1.0,40.0,00:00:00~23:59:59,209.0,0.0,0.0,0.0,4.0,5.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0
5,立農公園地下停車場,300781.892,2778989.94,121.50356949655300,25.118430183567200,北投區,1.0,1.0,30.0,00:00:00~23:59:59,209.0,97.0,0.0,0.0,6.0,5.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
6,捷運奇岩站轉乘停車場,300530.560,2779877.67,121.5011099703050,25.126452954216200,北投區,1.0,2.0,20.0,00:00:00~23:59:59,0.0,154.0,0.0,0.0,12.0,16.0,,,0.0,0.0,0.0,0.0,0.0,0.0
7,萬華國中地下停車場,300378.533,2769081.71,121.49920699677800,25.02899272394760,萬華區,1.0,1.0,20.0,00:00:00~23:59:59,519.0,215.0,0.0,0.0,10.0,11.0,8,4,0.0,0.0,0.0,0.0,0.0,0.0
8,捷運劍南站轉乘停車場,305942.000,277525.0,121.50305872623600,2.509989006595390,信義區,1.0,1.0,20.0,00:00:00~23:59:59,288.0,54.0,0.0,0.0,0.0,13.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,興雅國中地下停車場,307803.715,2769766.09,121.57280999836100,25.03490591576870,信義區,1.0,1.0,30.0,00:00:00~23:59:59,456.0,0.0,0.0,0.0,8.0,9.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0
15,峨眉立體停車場,300995.827,2770750.36,121.5053853732910,25.04403660291740,萬華區,1.0,1.0,50.0,00:00:00~23:59:59,529.0,1674.0,14.0,0.0,10.0,11.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
16,中山堂地下停車場,301507.707,2770749.58,121.51045808475600,25.044012218775800,中正區,1.0,1.0,40.0,00:00:00~23:59:59,431.0,0.0,0.0,0.0,8.0,8.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
18,洛陽綜合立體停車場,301043.408,2771216.58,121.50587417219200,25.04824401985600,萬華區,1.0,1.0,20.0,00:00:00~23:59:59,1718.0,283.0,0.0,0.0,33.0,64.0,18,2,0.0,0.0,0.0,0.0,0.0,0.0
19,塔城公園地下停車場,301557.525,2771503.76,121.51098000202800,25.050819231969100,大同區,1.0,1.0,30.0,00:00:00~23:59:59,159.0,0.0,0.0,0.0,5.0,4.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
20,百齡高中地下停車場,302855.945,2775422.3,121.5239985439960,25.086150675680600,士林區,1.0,1.0,10.0,00:00:00~23:59:59,236.0,0.0,0.0,0.0,6.0,5.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
21,前港公園地下停車場,302482.057,2775334.64,121.52028870186600,25.08537233189810,士林區,1.0,1.0,20.0,00:00:00~23:59:59,535.0,0.0,0.0,0.0,12.0,11.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
22,五分埔公園地下停車場,308568.310,2771067.69,121.5804418082530,25.046627191964300,信義區,1.0,1.0,40.0,00:00:00~23:59:59,214.0,0.0,0.0,0.0,4.0,4.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
23,民權公園地下停車場,306294.385,2772717.98,121.5579743612290,25.06161216210690,松山區,1.0,1.0,30.0,00:00:00~23:59:59,731.0,0.0,0.0,0.0,14.0,15.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
24,金華公園地下停車場,303652.309,2769153.2,121.53164895314400,25.029525642570400,大安區,1.0,1.0,50.0,00:00:00~23:59:59,193.0,0.0,0.0,0.0,3.0,4.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
25,古亭國中地下停車場,301525.761,2768579.65,121.51055591219500,25.024421517043600,萬華區,1.0,1.0,30.0,00:00:00~23:59:59,261.0,0.0,0.0,0.0,5.0,6.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
27,景華公園地下停車場,304892.459,2765362.8,121.54378663640300,24.995261603586100,文山區,1.0,1.0,20.0,00:00:00~23:59:59,750.0,0.0,0.0,0.0,14.0,15.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
28,松山高中地下停車場,306917.974,2770778.19,121.56407481428200,25.04407662008310,信義區,1.0,1.0,10.0,00:00:00~23:59:59,231.0,0.0,0.0,0.0,4.0,5.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
29,東湖國小地下停車場,312114.874,2773511.32,121.6156987287840,25.06854628680100,內湖區,1.0,1.0,40.0,00:00:00~23:59:59,365.0,111.0,0.0,0.0,7.0,7.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
30,大稻埕公園地下停車場,301502.719,2772342.45,121.51046820499600,25.05839275625120,大同區,1.0,1.0,40.0,00:00:00~23:59:59,201.0,0.0,0.0,0.0,6.0,5.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
31,附中公園地下停車場,304723.351,2769906.87,121.54229161053000,25.036291387582800,大安區,1.0,1.0,50.0,00:00:00~23:59:59,118.0,0.0,0.0,0.0,2.0,4.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
32,西松高中地下停車場,307094.919,2772078.85,121.56588222963500,25.055812154256800,松山區,1.0,1.0,30.0,00:00:00~23:59:59,348.0,0.0,0.0,0.0,6.0,7.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
33,進安公園地下停車場,304256.222,2770992.88,121.53770541657600,25.04611263356600,中山區,1.0,2.0,20.0,00:00:00~23:59:59,154.0,0.0,0.0,0.0,3.0,3.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
34,辛亥國小地下停車場,306385.240,2766588.77,121.55862421844400,25.006274817941600,文山區,1.0,2.0,20.0,00:00:00~23:59:59,132.0,0.0,0.0,0.0,2.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,成淵高中地下停車場,302443.992,2772624.48,121.51980805543700,25.060906545315400,大同區,1.0,1.0,40.0,00:00:00~23:59:59,273.0,0.0,0.0,0.0,5.0,6.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
36,大豐公園地下停車場,300813.615,2780396.61,121.50393615359000,25.13112836306090,北投區,1.0,1.0,40.0,00:00:00~23:59:59,239.0,0.0,0.0,0.0,4.0,5.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
37,大安高工地下停車場,304680.898,2769501.7,121.54185486111500,25.03263507362080,大安區,1.0,1.0,30.0,00:00:00~23:59:59,526.0,0.0,0.0,0.0,10.0,11.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
38,成德立體停車場,309134.553,2770988.07,121.58604991761600,25.045886363175400,南港區,1.0,1.0,20.0,00:00:00~23:59:59,185.0,0.0,0.0,0.0,,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,社園立體停車場,301034.258,2775795.37,121.50595328004100,25.08958139526850,士林區,1.0,1.0,20.0,00:00:00~23:59:59,266.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,健康國小地下停車場,306738.661,2772157.76,121.56235465177300,25.056537955208700,松山區,1.0,1.0,30.0,00:00:00~23:59:59,199.0,0.0,0.0,0.0,3.0,5.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0
41,忠信地下停車場,307293.875,2770374.65,121.56778319103700,25.040419316889000,信義區,1.0,1.0,40.0,00:00:00~23:59:59,321.0,260.0,22.0,0.0,6.0,7.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
42,建成國中地下停車場,302454.824,2771581.35,121.5198756850300,25.051488853269000,大同區,1.0,1.0,30.0,00:00:00~23:59:59,333.0,163.0,16.0,0.0,6.0,7.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
43,興中立體停車場,311193.240,2772128.99,121.6065022207720,25.056104493231400,南港區,1.0,1.0,20.0,00:00:00~23:59:59,650.0,156.0,15.0,0.0,12.0,13.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
44,青年公園高爾夫球場地下停車場,301246.148,2768507.43,121.50778270012700,25.023779004639900,萬華區,1.0,1.0,30.0,00:00:00~23:59:59,321.0,157.0,0.0,0.0,6.0,6.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
46,動物園站地下停車場,308423.211,2765610.24,121.57877277480500,24.997363528089700,松山區,1.0,2.0,20.0,00:00:00~23:59:59,154.0,204.0,0.0,0.0,0.0,12.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,信義廣場地下停車場,307098.292,2769568.19,121.56581163493000,25.033146073617400,信義區,1.0,1.0,40.0,00:00:00~23:59:59,380.0,198.0,24.0,0.0,8.0,8.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
49,大業立體停車場,300705.484,2781121.68,121.50289062096800,25.137677843341000,北投區,1.0,1.0,30.0,00:00:00~23:59:59,124.0,0.0,0.0,0.0,,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,大湖公園地下停車場,310699.031,2775146.05,121.6017372683210,25.08336182275570,內湖區,1.0,2.0,20.0,00:00:00~23:59:59,221.0,0.0,0.0,0.0,4.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
52,民生社區活動中心地下停車場,306771.829,2772514.97,121.56269810413800,25.05976155725470,松山區,1.0,2.0,30.0,00:00:00~23:59:59,155.0,0.0,0.0,0.0,3.0,4.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
53,民生立體停車場,306446.194,2772356.55,121.55946417707700,25.0583435549627,松山區,1.0,1.0,30.0,00:00:00~23:59:59,467.0,0.0,10.0,0.0,9.0,10.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
54,北寧路地下停車場,305739.506,2771287.79,121.55241687691500,25.04872112149380,松山區,1.0,2.0,40.0,00:00:00~23:59:59,78.0,0.0,0.0,0.0,1.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,市民大道(塔城段),301372.085,2771452.87,121.50914028970300,25.050366109625200,大同區,1.0,1.0,20.0,00:00:00~23:59:59,252.0,0.0,0.0,0.0,5.0,11.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
56,大安森林公園地下停車場,304225.666,2769534.8,121.53734524419700,25.032950276604500,大安區,1.0,1.0,20.0,00:00:00~23:59:59,1379.0,352.0,20.0,0.0,27.0,27.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
57,市民大道(公中段) ,302388.459,2771232.09,121.5192046868520,25.048338052073200,中山區,1.0,1.0,30.0,00:00:00~23:59:59,184.0,0.0,0.0,0.0,3.0,4.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
58,市民大道(中林段),302745.088,2771185.18,121.52273720740400,25.04790215620120,中山區,1.0,1.0,30.0,00:00:00~23:59:59,506.0,0.0,0.0,0.0,9.0,10.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
59,市民大道(林金段),303200.818,2771094.24,121.527250118589,25.047065193965400,中山區,1.0,1.0,20.0,00:00:00~23:59:59,990.0,0.0,0.0,0.0,19.0,20.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
60,市民大道(建復段),304577.728,2770821.76,121.54088480755800,25.04455620901250,中山區,1.0,1.0,30.0,00:00:00~23:59:59,178.0,0.0,0.0,0.0,3.0,4.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
61,陽明山立體停車場,304333.626,2783074.63,121.53895028213200,25.155182196801100,北投區,1.0,2.0,20.0,00:00:00~23:59:59,213.0,0.0,0.0,0.0,4.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0
62,市民大道(復敦段),305171.593,2770881.94,121.546772421139,25.04507796632740,松山區,1.0,1.0,30.0,00:00:00~23:59:59,219.0,0.0,0.0,0.0,4.0,5.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
64,市民大道(敦延段),305558.940,2770837.9,121.55060926895400,25.044666200111400,松山區,1.0,1.0,30.0,00:00:00~23:59:59,218.0,0.0,0.0,0.0,4.0,5.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
65,市民大道(延吉段),305858.412,2770805.97,121.55357574195700,25.044366910499000,松山區,1.0,1.0,30.0,00:00:00~23:59:59,81.0,0.0,0.0,0.0,1.0,2.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
66,揚雅立體停車場,302039.435,2773349.3,121.5158257444650,25.067464156455900,大同區,1.0,1.0,20.0,00:00:00~23:59:59,205.0,0.0,0.0,0.0,,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,雙園國中地下停車場,299616.907,2768938.87,121.49165503481800,25.02772831752750,萬華區,1.0,1.0,30.0,00:00:00~23:59:59,321.0,0.0,0.0,0.0,6.0,7.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
68,文昌國小地下停車場,302530.863,2776916.9,121.52083300084000,25.099655112856200,士林區,1.0,1.0,20.0,00:00:00~23:59:59,227.0,299.0,10.0,0.0,4.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,青年公園棒球場地下停車場,300790.825,2768479.84,121.50327016338000,25.02354526390050,萬華區,1.0,1.0,30.0,00:00:00~23:59:59,276.0,118.0,0.0,0.0,5.0,6.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
